Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 30 Aug 1985, VECC, 42809, 850830/0000, 22.64, 88.44, 6.0, -0.11, -3.50, -4.21, 242.82, 31.20, 20.20, 22.30, 42.50, 1053.23, 1291.22, -3.26, -1.70, 163.49, 162.63, 907.82, 920.70, 167.01, 204.75, 297.27, 963.08, 300.51, 20.13, 5820.00, 58.06
 12Z 30 Aug 1985, VECC, 42809, 850830/1200, 22.64, 88.44, 6.0, -0.52, -4.25, -5.04, 238.99, 35.10, 20.70, 23.50, 44.20, 2215.78, 2437.16, 0.00, 0.00, 128.28, 127.18, 933.27, 933.27, 326.44, 359.06, 295.77, 933.27, 301.69, 19.18, 5794.00, 56.62
 00Z 31 Aug 1985, VECC, 42809, 850831/0000, 22.64, 88.44, 6.0, -2.27, -5.16, -5.81, 226.98, 37.90, 22.90, 23.70, 46.60, 2809.04, 3010.88, -0.33, -0.05, 128.42, 127.52, 935.77, 941.09, 768.78, 824.02, 296.49, 957.97, 300.18, 19.30, 5773.00, 58.92
 12Z 31 Aug 1985, VECC, 42809, 850831/1200, 22.64, 88.44, 6.0, -0.23, -9.00, -10.27, 35.30, 21.40, 23.25, 44.65, 4680.62, 5041.01, -3.40, -2.06, 926.11, 930.63, 297.96, 941.38, 303.18, 21.51, 5761.10, 54.99
 00Z 01 Aug 1986, VECC, 42809, 860801/0000, 22.64, 88.44, 6.0, -1.88, -3.63, -4.39, 257.22, 38.50, 21.70, 23.70, 45.40, 1731.61, 1914.26, -5.49, 0.00, 131.96, 131.52, 834.32, 954.81, 481.14, 531.89, 296.80, 962.03, 300.13, 19.61, 5790.00, 62.69
 12Z 01 Aug 1986, VECC, 42809, 860801/1200, 22.64, 88.44, 6.0, -2.88, -3.56, -4.24, 255.19, 35.70, 21.70, 25.10, 46.80, 2584.96, 2764.76, -124.02, -97.97, 128.64, 127.49, 697.99, 743.29, 491.28, 525.45, 295.33, 905.32, 303.87, 19.01, 5846.00, 63.15
 00Z 02 Aug 1986, VECC, 42809, 860802/0000, 22.64, 88.44, 6.0, -3.11, -5.53, -6.15, 249.01, 39.80, 23.20, 24.70, 47.90, 2414.21, 2588.04, -5.55, -2.77, 133.50, 132.83, 897.02, 913.59, 254.73, 273.07, 296.72, 954.12, 300.76, 19.66, 5803.00, 64.37
 12Z 02 Aug 1986, VECC, 42809, 860802/1200, 22.64, 88.44, 6.0, 0.41, -2.93, -3.58, 212.39, 32.90, 18.70, 23.70, 42.40, 2293.35, 2461.85, -80.27, -44.77, 698.00, 744.56, 7336.74, 7875.80, 294.50, 884.20, 305.06, 18.48, 5829.00, 62.14
 00Z 03 Aug 1986, VECC, 42809, 860803/0000, 22.64, 88.44, 6.0, -1.37, -0.78, -0.97, 231.38, 38.70, 21.90, 22.70, 44.60, 52.88, 72.88, -73.66, -71.26, 437.37, 435.08, 639.90, 654.18, 3.96, 5.46, 293.25, 925.63, 299.83, 16.31, 5793.00, 65.16
 12Z 03 Aug 1986, VECC, 42809, 860803/1200, 22.64, 88.44, 6.0, -2.10, -3.19, -3.65, 839.80, 41.70, 21.50, 24.70, 46.20, 1275.98, 1387.76, -85.45, -71.54, 790.46, 801.41, 3.38, 3.67, 295.22, 926.37, 301.78, 18.47, 5810.00, 65.39
 00Z 04 Aug 1986, VECC, 42809, 860804/0000, 22.64, 88.44, 6.0, -2.50, -3.44, -3.97, 255.21, 41.10, 22.10, 22.50, 44.60, 1677.21, 1825.54, -1.41, -0.78, 129.88, 129.69, 905.65, 914.57, 330.59, 359.83, 297.74, 962.73, 301.02, 20.74, 5843.00, 73.79
 12Z 04 Aug 1986, VECC, 42809, 860804/1200, 22.64, 88.44, 6.0, 0.92, -2.41, -3.18, 241.78, 34.90, 18.90, 21.10, 40.00, 1793.28, 1986.11, -15.81, -9.39, 130.77, 129.32, 874.88, 888.82, 331.12, 366.73, 296.19, 920.35, 303.33, 19.76, 5847.00, 64.84
 00Z 05 Aug 1986, VECC, 42809, 860805/0000, 22.64, 88.44, 6.0, -1.54, -4.08, -4.53, 246.59, 37.70, 21.90, 23.50, 45.40, 2454.02, 2617.62, -7.18, -4.01, 125.04, 123.97, 887.72, 902.13, 4300.07, 4586.72, 295.86, 945.73, 300.65, 18.81, 5789.00, 60.51
 12Z 05 Aug 1986, VECC, 42809, 860805/1200, 22.64, 88.44, 6.0, -2.46, -3.95, -4.56, 268.80, 40.10, 22.10, 23.70, 45.80, 4035.58, 4217.17, -1.09, -0.43, 923.43, 929.67, 231.09, 241.49, 296.79, 948.65, 301.33, 19.86, 5801.00, 64.94
 00Z 06 Aug 1986, VECC, 42809, 860806/0000, 22.64, 88.44, 6.0, -1.85, -4.33, -4.83, 249.99, 39.70, 22.10, 22.70, 44.80, 1434.02, 1572.12, -1.31, -0.72, 916.67, 923.41, 315.84, 346.26, 297.12, 958.35, 300.79, 20.06, 5800.00, 69.26
 12Z 06 Aug 1986, VECC, 42809, 860806/1200, 22.64, 88.44, 6.0, -2.91, -4.50, -5.11, 315.00, 39.70, 22.70, 23.30, 46.00, 2297.55, 2481.14, -10.90, -9.25, 120.82, 120.53, 886.51, 891.38, 76.52, 82.63, 296.10, 919.82, 303.28, 19.62, 5826.00, 66.87
 00Z 07 Aug 1986, VECC, 42809, 860807/0000, 22.64, 88.44, 6.0, -5.47, -7.41, -8.40, 368.19, 39.70, 24.70, 27.10, 51.80, 5066.35, 5314.41, -24.82, -13.08, 113.70, 113.97, 770.26, 852.11, 218.70, 229.41, 297.86, 959.42, 301.45, 20.97, 5821.00, 61.91
 12Z 07 Aug 1986, VECC, 42809, 860807/1200, 22.64, 88.44, 6.0, -4.24, -3.92, -4.99, 321.39, 40.40, 22.20, 24.70, 46.90, 1844.75, 2083.42, -115.96, -105.78, 764.82, 783.32, 179.03, 202.19, 297.28, 903.94, 306.02, 21.51, 5870.00, 73.06
 00Z 08 Aug 1986, VECC, 42809, 860808/0000, 22.64, 88.44, 6.0, -3.05, -7.05, -7.78, 262.00, 38.70, 23.50, 24.70, 48.20, 4304.50, 4522.76, -0.66, -0.38, 931.97, 936.03, 358.35, 376.53, 297.52, 963.56, 300.72, 20.44, 5783.00, 62.87
 12Z 11 Aug 1986, VECC, 42809, 860811/1200, 22.64, 88.44, 6.0, -1.40, -3.99, -5.16, 320.00, 35.10, 20.30, 24.10, 44.40, 2220.36, 2505.08, -45.03, -21.10, 748.54, 824.52, 63.01, 71.08, 295.16, 879.05, 306.26, 19.39, 5857.00, 56.00
 00Z 12 Aug 1986, VECC, 42809, 860812/0000, 22.64, 88.44, 6.0, -1.41, -3.01, -3.63, 319.22, 38.00, 21.20, 21.70, 42.90, 1185.87, 1370.34, -3.92, -2.96, 901.91, 906.78, 38.73, 44.75, 297.32, 951.53, 301.60, 20.45, 5802.00, 66.62
 00Z 13 Aug 1986, VECC, 42809, 860813/0000, 22.64, 88.44, 6.0, -1.45, -3.42, -4.17, 237.99, 38.90, 21.90, 23.10, 45.00, 1963.21, 2155.52, 0.00, 0.00, 135.55, 135.29, 960.18, 960.18, 290.17, 318.59, 296.10, 960.18, 299.57, 18.82, 5795.00, 56.69
 12Z 13 Aug 1986, VECC, 42809, 860813/1200, 22.64, 88.44, 6.0, -2.14, -3.80, -5.10, 305.00, 34.70, 21.10, 22.70, 43.80, 4318.62, 4643.08, -19.19, -11.98, 114.57, 114.32, 849.10, 881.93, 169.85, 182.61, 297.67, 928.02, 304.12, 21.46, 5854.00, 60.15
 00Z 14 Aug 1986, VECC, 42809, 860814/0000, 22.64, 88.44, 6.0, -0.57, -1.89, -2.85, 289.80, 32.10, 20.30, 21.70, 42.00, 1539.26, 1742.41, -0.67, -0.24, 928.39, 934.19, 50.74, 57.44, 296.84, 954.68, 300.83, 19.79, 5841.00, 58.69
