Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 09 Aug 2010, 41883, 100809/0000, 24.85, 89.36, 20.0, -1.57, -3.82, -4.27, 235.00, 39.20, 20.80, 23.30, 44.10, 1536.83, 1676.78, -32.50, -26.64, 141.93, 141.08, 821.83, 858.01, 2661.06, 2903.39, 297.61, 948.46, 302.19, 20.89, 5820.00, 75.99
 00Z 16 Aug 2010, 41883, 100816/0000, 24.85, 89.36, 20.0, -1.34, -3.17, -3.50, 262.20, 40.70, 21.10, 21.10, 42.20, 1524.04, 1620.17, 0.00, 0.00, 144.33, 143.40, 965.78, 966.14, 915.60, 973.36, 298.65, 975.38, 300.81, 21.64, 5801.00, 83.87
 00Z 23 Aug 2010, 41883, 100823/0000, 24.85, 89.36, 20.0, -1.23, -1.40, -1.54, 274.60, 40.70, 20.90, 20.90, 41.80, 686.74, 741.99, -9.00, -8.71, 183.29, 181.73, 862.72, 864.65, 218.77, 236.37, 297.63, 971.25, 300.15, 20.40, 5786.00, 80.76
 00Z 08 Aug 2011, 41883, 110808/0000, 24.85, 89.36, 20.0, -0.57, -2.24, -2.45, 291.63, 39.40, 20.70, 20.70, 41.40, 496.26, 546.70, 0.00, 0.00, 949.81, 952.48, 56.16, 61.87, 297.18, 957.95, 300.88, 20.15, 5796.00, 80.38
 00Z 08 Aug 2013, 41883, 130808/0000, 24.85, 89.36, 20.0, -2.14, -3.72, -4.07, 259.21, 41.40, 21.90, 21.90, 43.80, 1828.56, 1931.46, 0.00, 0.00, 134.24, 132.93, 970.55, 970.01, 2166.23, 2288.13, 298.42, 973.37, 300.76, 21.39, 5785.00, 81.10
 00Z 12 Aug 2013, 41883, 130812/0000, 24.85, 89.36, 20.0, -1.75, -3.86, -4.23, 258.41, 40.90, 21.70, 21.70, 43.40, 2078.22, 2184.54, 0.00, 0.00, 148.27, 148.23, 974.53, 974.02, 549.95, 578.09, 298.44, 974.99, 300.62, 21.37, 5781.00, 80.15
 00Z 20 Aug 2013, 41883, 130820/0000, 24.85, 89.36, 20.0, -3.14, -2.33, -2.53, 319.21, 42.50, 22.90, 22.90, 45.80, 234.56, 258.16, -0.64, -0.48, 305.03, 304.67, 930.15, 931.47, 38.67, 42.56, 295.81, 943.40, 300.80, 18.78, 5789.00, 77.16
 12Z 21 Aug 2013, 41883, 130821/1200, 24.85, 89.36, 20.0, -0.90, -4.49, -4.93, 292.20, 39.50, 20.70, 21.70, 42.40, 2255.04, 2401.72, -1.64, -0.68, 118.65, 118.32, 925.13, 932.13, 89.30, 95.10, 298.06, 944.73, 302.97, 21.58, 5803.00, 79.02
 00Z 22 Aug 2013, 41883, 130822/0000, 24.85, 89.36, 20.0, -0.47, -2.62, -3.10, 257.20, 32.00, 20.20, 21.90, 42.10, 1012.48, 1147.81, 0.00, 0.00, 141.26, 141.20, 959.65, 959.44, 769.94, 872.85, 297.66, 968.33, 300.42, 20.52, 5803.00, 70.85
 00Z 30 Aug 2013, 41883, 130830/0000, 24.85, 89.36, 20.0, 0.96, -1.42, -2.22, 259.21, 35.20, 19.10, 19.50, 38.60, 1004.20, 1171.83, 0.00, 0.00, 139.20, 138.45, 966.15, 967.82, 314.42, 366.90, 298.11, 973.62, 300.41, 20.97, 5780.00, 70.97
 00Z 02 Aug 2014, 41883, 140802/0000, 24.85, 89.36, 20.0, -1.47, -3.04, -3.63, 260.39, 40.10, 20.50, 21.70, 42.20, 1897.65, 2058.86, -11.49, -7.72, 125.49, 123.69, 866.35, 883.55, 1324.13, 1436.62, 298.47, 950.03, 302.91, 22.01, 5832.00, 80.48
 00Z 10 Aug 2014, 41883, 140810/0000, 24.85, 89.36, 20.0, -0.42, -1.80, -2.35, 282.99, 38.20, 20.00, 20.00, 40.00, 1172.22, 1320.83, -0.47, -0.31, 141.89, 140.57, 933.54, 935.64, 230.73, 259.98, 298.04, 955.38, 301.99, 21.29, 5820.00, 78.21
 00Z 14 Aug 2014, 41883, 140814/0000, 24.85, 89.36, 20.0, -1.42, -1.63, -1.79, 274.58, 41.60, 20.60, 21.30, 41.90, 815.15, 891.36, 0.00, 0.00, 149.86, 149.78, 951.68, 955.70, 1202.89, 1315.36, 297.96, 961.78, 301.31, 21.05, 5803.00, 81.76
 00Z 20 Aug 2014, 41883, 140820/0000, 24.85, 89.36, 20.0, -2.32, -3.44, -3.77, 265.99, 39.90, 21.90, 21.90, 43.80, 1600.13, 1710.56, -3.37, -2.60, 138.19, 137.72, 893.36, 895.35, 328.30, 350.96, 298.40, 970.66, 300.99, 21.43, 5785.00, 80.93
 00Z 26 Aug 2014, 41883, 140826/0000, 24.85, 89.36, 20.0, 0.00, 0.00
 00Z 28 Aug 2014, 41883, 140828/0000, 24.85, 89.36, 20.0, -2.78, -4.83, -5.38, 252.58, 41.00, 22.40, 23.10, 45.50, 2150.84, 2308.63, -2.66, -1.69, 121.41, 119.65, 909.45, 917.82, 656.06, 704.19, 298.13, 959.01, 301.75, 21.33, 5800.00, 74.99
 00Z 30 Aug 2014, 41883, 140830/0000, 24.85, 89.36, 20.0, -2.57, -5.25, -5.93, 260.81, 42.00, 21.70, 23.50, 45.20, 3247.23, 3461.53, -18.70, -12.08, 113.79, 113.61, 876.25, 890.95, 498.41, 531.30, 298.44, 945.23, 303.31, 22.08, 5810.00, 74.75
 00Z 02 Aug 2015, 41883, 150802/0000, 24.85, 89.36, 20.0, -0.69, -1.81, -1.97, 289.40, 39.30, 21.10, 21.10, 42.20, 345.33, 388.31, -1.38, -1.42, 220.39, 223.81, 916.99, 916.74, 20.98, 23.59, 296.33, 959.64, 299.87, 19.05, 5780.00, 75.12
 00Z 04 Aug 2015, 41883, 150804/0000, 24.85, 89.36, 20.0, -0.33, -1.92, -2.54, 249.80, 37.90, 19.80, 21.30, 41.10, 1284.31, 1416.50, -3.91, -2.04, 138.12, 138.10, 851.49, 865.05, 2484.14, 2739.83, 298.05, 970.12, 300.68, 20.97, 5796.00, 75.83
 00Z 06 Aug 2015, 41883, 150806/0000, 24.85, 89.36, 20.0, -1.72, -3.33, -3.72, 253.00, 39.60, 21.30, 21.30, 42.60, 1870.39, 2010.48, -8.97, -10.39, 110.31, 109.37, 892.43, 892.25, 12604.03, 13548.07, 298.21, 955.73, 302.13, 21.50, 5811.00, 79.69
 00Z 10 Aug 2015, 41883, 150810/0000, 24.85, 89.36, 20.0, -4.35, -6.20, -6.85, 277.00, 44.50, 23.50, 23.50, 47.00, 3274.30, 3484.80, -2.80, -2.83, 125.83, 124.75, 910.43, 911.69, 657.80, 700.08, 299.49, 960.67, 302.98, 23.14, 5799.00, 82.59
