Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 28 Jun 1988, 41883, 880628/0000, 24.85, 89.36, 20.0, -0.67, -1.93, -2.50, 307.60, 33.20, 20.40, 21.90, 42.30, 614.91, 739.70, -39.36, -11.43, 662.33, 853.14, 46.81, 56.31, 296.51, 948.35, 301.07, 19.52, 5845.00, 64.76
 00Z 29 Jun 1988, 41883, 880629/0000, 24.85, 89.36, 20.0, -1.81, -3.53, -4.25, 273.81, 36.70, 21.70, 22.70, 44.40, 1656.63, 1839.60, -8.29, -6.88, 159.57, 159.18, 880.04, 888.97, 278.57, 309.34, 297.18, 959.94, 300.71, 20.09, 5806.00, 65.90
 00Z 04 Jun 1989, 41883, 890604/0000, 24.85, 89.36, 20.0, -2.39, 157.63, 158.34, 237.19, 39.80, 23.20, 23.50, 46.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 385.77, 60879.27, 115.82, 17.81, 5744.00, 61.17
 00Z 14 Jun 1989, 41883, 890614/0000, 24.85, 89.36, 20.0, 0.32, 21.13, 21.73, 37.20, 20.10, 20.30, 40.40, 0.00, 0.00, 0.00, 0.00, 282.57, 952.10, 286.72, 13.99, 5775.00, 63.95
 00Z 21 Jun 1990, 41883, 900621/0000, 24.85, 89.36, 20.0, -50.63, -52.14, -53.58, 90.10, 70.30, 70.30, 140.60, 2414.69, 2565.61, 0.00, 0.00, 963.07, 964.79, 298.44, 969.82, 301.08, 21.49, 5221.00, 67.94
 00Z 09 Jun 1997, 41883, 970609/0000, 24.85, 89.36, 20.0, -1.21, -5.28, -6.57, 279.72, 39.00, 18.90, 28.90, 47.80, 1728.92, 2015.22, -125.91, -88.48, 146.47, 146.04, 758.07, 778.03, 45.92, 53.52, 297.77, 973.81, 300.07, 20.52, 5805.00, 53.55
 00Z 16 Jun 1997, 41883, 970616/0000, 24.85, 89.36, 20.0, -0.20, -3.83, -4.80, 244.82, 41.70, 18.30, 26.30, 44.60, 1826.75, 2031.02, -124.81, -87.26, 145.91, 144.51, 765.71, 782.54, 65.89, 73.26, 296.71, 934.04, 302.58, 20.11, 5830.00, 62.69
 00Z 23 Jun 1997, 41883, 970623/0000, 24.85, 89.36, 20.0, -3.46, -2.90, -3.54, 250.02, 40.89, 22.80, 23.30, 46.10, 1006.56, 1167.84, -33.44, -30.10, 147.28, 146.94, 782.13, 770.98, 2030.62, 2355.99, 296.97, 954.70, 300.97, 19.96, 5820.00, 71.40
 00Z 30 Jun 1997, 41883, 970630/0000, 24.85, 89.36, 20.0, -2.36, -3.78, -4.61, 286.41, 41.40, 21.60, 21.70, 43.30, 2577.49, 2818.08, -0.45, -0.48, 102.88, 102.87, 920.16, 920.16, 271.33, 296.66, 298.90, 959.53, 302.49, 22.35, 5861.00, 74.85
 00Z 17 Jun 1998, 41883, 980617/0000, 24.85, 89.36, 20.0, -0.24, -4.87, -5.69, 37.10, 18.70, 25.70, 44.40, 1737.86, 1956.27, -78.06, -42.11, 139.82, 135.23, 789.34, 823.43, 297.57, 942.55, 302.68, 21.06, 5843.00, 63.07
 00Z 14 Jun 2008, 41883, 080614/0000, 24.85, 89.36, 20.0, -4.29, -4.49, -5.35, 292.80, 42.00, 23.70, 23.70, 47.40, 2968.16, 3249.60, -9.20, -10.84, 153.36, 152.60, 863.11, 862.75, 236.10, 258.48, 297.22, 943.59, 302.23, 20.50, 5796.00, 58.22
 00Z 25 Jun 2008, 41883, 080625/0000, 24.85, 89.36, 20.0, 0.25, 242.81, 35.50, 19.40, 21.50, 40.90, 0.00, 0.00, 5797.00, 5797.00
 00Z 15 Jun 2009, 41883, 090615/0000, 24.85, 89.36, 20.0, -2.93, -0.92, -1.44, 265.39, 41.50, 21.20, 25.90, 47.10, 322.74, 418.76, -257.05, -238.39, 197.09, 195.96, 716.08, 725.71, 13.10, 17.00, 294.73, 925.01, 301.43, 18.02, 5786.00, 64.51
 00Z 22 Jun 2009, 41883, 090622/0000, 24.85, 89.36, 20.0, 1.62, 0.97, 0.37, 213.99, 35.00, 16.70, 23.70, 40.40, 1.82, 52.20, -241.38, -201.06, 643.34, 373.90, 704.19, 721.40, 0.10, 2.92, 293.51, 894.86, 303.03, 17.28, 5833.00, 55.71
 00Z 10 Jun 2013, 41883, 130610/0000, 24.85, 89.36, 20.0, -2.09, -3.86, -4.47, 289.79, 41.70, 21.50, 21.50, 43.00, 2253.49, 2413.83, -0.65, -0.54, 129.11, 127.69, 928.03, 929.07, 295.59, 316.63, 298.76, 958.02, 302.48, 22.20, 5811.00, 82.76
 00Z 20 Jun 2013, 41883, 130620/0000, 24.85, 89.36, 20.0, -1.56, -2.00, -2.18, 241.21, 40.50, 20.30, 23.90, 44.20, 445.71, 509.48, -107.28, -90.92, 190.24, 189.49, 719.82, 736.65, 88.57, 101.24, 296.82, 948.54, 301.35, 19.88, 5804.00, 76.37
 00Z 02 Jun 2014, 41883, 140602/0000, 24.85, 89.36, 20.0, 0.55, -1.07, -2.04, 236.98, 36.20, 19.70, 20.30, 40.00, 499.43, 698.25, -18.17, -14.02, 214.68, 214.85, 876.48, 884.94, 8123.20, 11357.02, 296.16, 946.93, 300.84, 19.13, 5777.00, 61.16
 00Z 06 Jun 2014, 41883, 140606/0000, 24.85, 89.36, 20.0, -2.15, -2.87, -4.06, 280.99, 42.40, 20.50, 24.70, 45.20, 1356.23, 1586.19, -83.00, -73.16, 151.96, 151.67, 774.79, 786.40, 202.97, 237.39, 297.62, 951.26, 301.93, 20.84, 5831.00, 66.98
 00Z 16 Jun 2014, 41883, 140616/0000, 24.85, 89.36, 20.0, -3.64, -4.41, -5.10, 255.20, 38.30, 22.50, 23.70, 46.20, 1733.73, 1956.26, -50.74, -51.00, 133.37, 132.78, 826.95, 845.14, 533.81, 602.33, 297.49, 926.59, 304.06, 21.25, 71.49
 00Z 20 Jun 2014, 41883, 140620/0000, 24.85, 89.36, 20.0, -0.92, -1.27, -1.46, 268.98, 39.50, 20.50, 20.50, 41.00, 271.31, 319.07, -2.97, -3.51, 267.40, 269.01, 884.96, 884.08, 50.01, 58.82, 297.52, 959.65, 301.08, 20.52, 5811.00, 82.11
 00Z 22 Jun 2014, 41883, 140622/0000, 24.85, 89.36, 20.0, -1.23, -1.68, -1.85, 265.61, 38.60, 20.90, 20.90, 41.80, 236.84, 287.69, -0.47, -0.43, 325.88, 342.26, 925.34, 925.50, 114.93, 139.61, 297.31, 957.15, 301.09, 20.31, 5810.00, 79.65
 00Z 04 Jun 2015, 41883, 150604/0000, 24.85, 89.36, 20.0, -3.85, -5.55, -6.66, 273.80, 40.20, 23.00, 23.10, 46.10, 3431.55, 3730.00, -17.69, -11.44, 121.76, 120.57, 884.26, 894.98, 1575.09, 1712.08, 299.07, 953.56, 303.19, 22.76, 5784.00, 70.39
 00Z 08 Jun 2015, 41883, 150608/0000, 24.85, 89.36, 20.0, -4.27, -4.25, -5.14, 428.36, 43.60, 22.10, 26.90, 49.00, 1854.70, 2068.87, -122.89, -104.32, 141.70, 140.45, 760.16, 772.53, 60.69, 67.70, 297.66, 941.98, 302.83, 21.11, 5820.00, 69.22
