Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 25 May 1988, VGTJ, 41923, 880525/0000, 23.76, 90.37, 9.0, -25.63, -24.86, -26.20, 1365.92, 58.90, 44.10, 45.70, 89.80, 3182.69, 3412.24, -165.48, -139.16, 148.75, 147.78, 661.09, 690.85, 25.70, 27.55, 298.40, 962.76, 301.68, 21.66, 5867.00, 69.77
 00Z 26 May 1988, VGTJ, 41923, 880526/0000, 23.76, 90.37, 9.0, -2.67, -8.36, -9.48, 424.66, 34.50, 20.30, 30.30, 50.60, 5133.99, 5445.21, -115.81, -62.64, 773.16, 806.89, 90.94, 96.46, 297.73, 937.96, 303.26, 21.40, 5811.00, 52.49
 00Z 28 May 1988, VGTJ, 41923, 880528/0000, 23.76, 90.37, 9.0, 0.88, -2.94, -4.35, 296.21, 28.00, 18.60, 21.90, 40.50, 2072.86, 2357.71, -10.28, -4.59, 101.83, 101.42, 887.59, 908.08, 63.47, 72.19, 297.31, 941.53, 302.50, 20.70, 5841.00, 48.21
 00Z 29 May 1988, VGTJ, 41923, 880529/0000, 23.76, 90.37, 9.0, -6.35, -1.91, -2.06, 474.01, 46.50, 25.50, 25.50, 51.00, 36.11, 38.89, -328.17, -381.82, 470.30, 470.06, 618.07, 617.20, 0.17, 0.19, 295.27, 956.94, 299.03, 17.90, 5846.00, 82.06
 00Z 30 May 1988, VGTJ, 41923, 880530/0000, 23.76, 90.37, 9.0, -4.86, -0.71, -1.69, 307.65, 42.84, 23.15, 27.42, 50.57, 94.75, 36.87, -514.28, -517.69, 327.16, 507.53, 560.39, 564.61, 24.39, 9.49, 294.22, 941.44, 299.40, 17.07, 15713.17, 62.74
 00Z 31 May 1988, VGTJ, 41923, 880531/0000, 23.76, 90.37, 9.0, -1.98, -1.46, -2.37, 226.12, 31.61, 21.61, 25.71, 47.32, 180.04, 169.98, -270.37, -218.51, 319.94, 450.42, 635.52, 652.05, 20.74, 19.58, 293.70, 942.67, 298.73, 16.46, 5676.16, 44.68
 00Z 02 May 1989, VGTJ, 41923, 890502/0000, 23.76, 90.37, 9.0, 0.40, -3.36, -4.21, 247.01, 33.00, 19.40, 23.50, 42.90, 2192.83, 2403.11, -34.51, -10.37, 158.42, 158.13, 689.89, 878.79, 30.70, 33.64, 296.28, 948.66, 300.79, 19.24, 5807.00, 56.18
 00Z 04 May 1989, VGTJ, 41923, 890504/0000, 23.76, 90.37, 9.0, 4.80, 0.84, -0.27, 202.83, 23.70, 12.30, 25.30, 37.60, 1095.54, 1240.37, -452.14, -38.86, 483.49, 14.36, 10.81, 12.24, 294.12, 911.77, 302.02, 17.58, 5858.00, 34.79
 00Z 05 May 1989, VGTJ, 41923, 890505/0000, 23.76, 90.37, 9.0, -2.26, -3.86, -5.17, 245.62, 35.10, 20.30, 27.30, 47.60, 2742.25, 3064.31, -176.49, -134.01, 130.81, 130.60, 736.31, 764.38, 44.02, 49.19, 296.31, 933.35, 302.22, 19.60, 5832.00, 42.99
 00Z 11 May 1989, VGTJ, 41923, 890511/0000, 23.76, 90.37, 9.0, -3.53, -5.28, -6.44, 260.39, 32.90, 21.70, 29.70, 51.40, 1431.81, 1713.38, -209.56, -158.33, 188.88, 190.75, 724.18, 752.33, 273.21, 326.94, 294.89, 922.89, 301.76, 18.16, 5816.00, 39.01
