Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 26 Apr 1987, VGTJ, 41923, 870426/0000, 23.76, 90.37, 9.0, -5.99, 39.13, 39.55, 385.41, 36.70, 25.50, 30.50, 56.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 262.27, 927.73, 268.13, 3.21, 6345.00, 33.83
 00Z 27 Apr 1987, VGTJ, 41923, 870427/0000, 23.76, 90.37, 9.0, -5.30, -6.71, -7.16, 340.61, 41.90, 27.00, 27.30, 54.30, 1231.84, 1328.12, -20.76, -17.42, 878.86, 884.99, 96.47, 104.01, 293.45, 948.35, 297.94, 16.10, 5695.00, 52.70
 00Z 29 Apr 1987, VGTJ, 41923, 870429/0000, 23.76, 90.37, 9.0, -1.09, -5.98, -6.55, 173.99, 34.30, 21.30, 28.30, 49.60, 1302.03, 1458.05, -51.99, -26.24, 254.04, 254.23, 804.06, 833.19, 118.32, 132.50, 294.38, 962.16, 297.68, 16.89, 5713.00, 45.95
 00Z 30 Apr 1987, VGTJ, 41923, 870430/0000, 23.76, 90.37, 9.0, 0.42, 24.03, 24.19, 181.01, 32.00, 20.80, 25.50, 46.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 265.77, 778.19, 285.47, 7.24, 5701.00, 29.21
 00Z 02 Apr 1989, VGTJ, 41923, 890402/0000, 23.76, 90.37, 9.0, 3.73, -2.44, -3.31, 348.89, 24.90, 14.10, 28.10, 42.20, 107.20, 174.89, -0.22, -0.08, 404.79, 411.11, 936.92, 936.92, 0.64, 1.04, 293.10, 936.92, 298.63, 15.94, 5748.00, 32.81
 00Z 06 Apr 1989, VGTJ, 41923, 890406/0000, 23.76, 90.37, 9.0, 16.10, 10.27, 9.87, 73.99, -14.46, -6.90, 24.10, 17.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 279.93, 783.77, 300.17, 9.25, 5778.00, 11.03
 00Z 08 Apr 1989, VGTJ, 41923, 890408/0000, 23.76, 90.37, 9.0, 11.84, 8.34, 7.99, 73.00, -5.10, -1.90, 28.10, 26.20, 3.90, 5.71, -1693.74, -1556.06, 439.76, 439.74, 450.86, 450.56, 0.09, 0.12, 277.64, 758.87, 300.46, 7.96, 5774.00, 10.65
 00Z 10 Apr 1989, VGTJ, 41923, 890410/0000, 23.76, 90.37, 9.0, 6.14, -1.61, -2.65, 147.01, 16.10, 11.10, 26.10, 37.20, 675.99, 922.26, -216.89, -140.10, 217.87, 218.11, 735.25, 774.63, 9.87, 13.46, 294.90, 945.06, 299.73, 17.70, 5802.00, 29.88
 00Z 12 Apr 1989, VGTJ, 41923, 890412/0000, 23.76, 90.37, 9.0, 14.33, 3.24, 2.54, 95.01, -0.70, -5.70, 26.30, 20.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 288.31, 862.16, 300.82, 13.30, 5828.00, 19.30
 00Z 14 Apr 1989, VGTJ, 41923, 890414/0000, 23.76, 90.37, 9.0, 13.48, 3.41, 2.69, 81.00, -2.90, -4.10, 26.90, 22.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.35, 879.76, 300.15, 13.62, 5777.00, 16.97
 00Z 16 Apr 1989, VGTJ, 41923, 890416/0000, 23.76, 90.37, 9.0, -0.34, -7.61, -8.39, 150.97, 13.50, 12.70, 38.70, 51.40, 389.32, 496.44, -616.35, -484.05, 427.84, 429.40, 640.01, 663.40, 3.20, 4.08, 291.31, 914.29, 298.89, 14.60, 5767.00, 23.68
 00Z 20 Apr 1989, VGTJ, 41923, 890420/0000, 23.76, 90.37, 9.0, 7.67, -6.54, -7.70, 89.40, 7.10, 7.90, 27.90, 35.80, 2768.73, 3138.37, 0.00, 0.00, 154.01, 153.85, 957.78, 961.81, 55.91, 63.37, 297.26, 969.05, 299.96, 20.03, 5772.00, 34.73
 00Z 22 Apr 1989, VGTJ, 41923, 890422/0000, 23.76, 90.37, 9.0, 7.82, -3.95, -4.82, 103.98, 0.70, 0.30, 33.30, 33.60, 1302.48, 1467.92, -491.96, -348.11, 231.74, 231.69, 675.09, 706.16, 19.02, 21.43, 292.56, 924.60, 299.21, 15.62, 5759.00, 22.46
 00Z 24 Apr 1989, VGTJ, 41923, 890424/0000, 23.76, 90.37, 9.0, -2.97, -7.15, -8.08, 385.80, 31.10, 18.10, 36.10, 54.20, 2440.61, 2644.35, -8.30, -5.37, 188.29, 188.04, 901.90, 909.11, 36.82, 39.90, 295.26, 928.42, 301.62, 18.46, 5813.00, 43.41
 00Z 26 Apr 1989, VGTJ, 41923, 890426/0000, 23.76, 90.37, 9.0, -10.65, -11.98, 29.57, 4275.67, 4735.67, -15.12, -11.37, 156.49, 149.60, 877.25, 887.34, 26.65, 29.51, 296.69, 940.33, 301.97, 19.90, 5574.96, 27.30
 00Z 28 Apr 1989, VGTJ, 41923, 890428/0000, 23.76, 90.37, 9.0, -1.30, -7.26, -7.84, 285.51, 31.30, 19.70, 31.70, 51.40, 1568.85, 1700.18, -210.05, -140.04, 177.86, 177.41, 703.23, 740.47, 7.64, 8.28, 294.31, 952.01, 298.50, 17.00, 5754.00, 43.15
 00Z 30 Apr 1989, VGTJ, 41923, 890430/0000, 23.76, 90.37, 9.0, -4.52, 465.74, 22.50, 24.70, 26.50, 51.20, 0.00, 0.00
 00Z 01 Apr 1990, VGTJ, 41923, 900401/0000, 23.76, 90.37, 9.0, 3.41, -2.74, -3.02, 84.79, 21.50, 14.10, 31.10, 45.20, 249.43, 320.33, -258.26, -186.46, 407.42, 408.40, 712.55, 731.61, 4.30, 5.52, 289.64, 944.46, 294.44, 12.80, 5661.00, 27.35
 00Z 08 Apr 1990, VGTJ, 41923, 900408/0000, 23.76, 90.37, 9.0, -3.91, -4.62, 27.10, 1078.34, 1346.27, -0.85, -0.55, 309.75, 309.93, 917.45, 924.80, 8.25, 10.30, 292.84, 970.93, 295.33, 15.11, 5662.00, 19.19
 00Z 09 Apr 1990, VGTJ, 41923, 900409/0000, 23.76, 90.37, 9.0, 9.43, -1.16, -1.83, 106.99, 13.30, 4.30, 28.30, 32.60, 181.46, 318.08, -240.96, -169.38, 448.24, 454.13, 736.16, 761.60, 2.20, 3.86, 290.55, 924.20, 297.19, 13.77, 5706.00, 21.75
