Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Jul 1994, 41977, 940701/0000, 22.35, 91.80, 34.0, -0.26, -3.41, -3.71, 219.38, 38.50, 20.80, 22.10, 42.90, 1249.77, 1351.44, -11.07, -5.95, 153.86, 153.21, 893.98, 908.42, 40.85, 44.18, 295.92, 941.59, 301.08, 18.99, 5806.00, 68.79
 00Z 03 Jul 1994, 41977, 940703/0000, 22.35, 91.80, 34.0, -1.25, -2.80, -3.31, 276.60, 38.70, 21.50, 22.30, 43.80, 1215.47, 1326.72, -5.06, -3.08, 167.51, 166.88, 892.31, 905.38, 148.80, 162.42, 296.74, 967.97, 299.54, 19.39, 5778.00, 69.15
 00Z 04 Jul 1994, 41977, 940704/0000, 22.35, 91.80, 34.0, -2.31, -3.91, -4.36, 252.42, 38.96, 22.66, 23.50, 46.16, 1468.09, 1592.46, -4.20, -4.23, 173.17, 172.44, 926.92, 930.91, 174.41, 189.19, 296.16, 956.87, 299.93, 18.92, 5849.00, 66.13
 00Z 05 Jul 1994, 41977, 940705/0000, 22.35, 91.80, 34.0, 6.77, 0.37, 0.28, 234.20, 28.70, 15.20, 17.10, 32.30, 140.42, 178.61, -17.55, -17.67, 358.38, 364.98, 898.51, 900.98, 11.17, 14.21, 295.70, 966.53, 298.61, 18.18, 5756.00, 67.16
 00Z 07 Jul 1994, 41977, 940707/0000, 22.35, 91.80, 34.0, -3.55, 0.15, 0.09, 284.98, 43.70, 22.70, 22.70, 45.40, 17.46, 21.30, -113.17, -133.34, 523.18, 548.68, 711.03, 709.99, 3.73, 4.55, 295.90, 961.33, 299.29, 18.52, 5773.00, 80.72
 00Z 08 Jul 1994, 41977, 940708/0000, 22.35, 91.80, 34.0, 0.30, 260.99, 37.70, 19.10, 21.70, 40.80, 0.00, 0.00, 5801.00, 5801.00
 00Z 10 Jul 1994, 41977, 940710/0000, 22.35, 91.80, 34.0, -1.44, 1.79, 1.63, 305.39, 38.30, 20.30, 21.40, 41.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 295.91, 953.59, 299.99, 18.69, 5850.00, 77.38
 00Z 11 Jul 1994, 41977, 940711/0000, 22.35, 91.80, 34.0, -2.43, -2.65, -3.07, 272.00, 40.30, 22.20, 22.30, 44.50, 970.92, 1067.14, -1.54, -1.47, 143.23, 142.63, 916.06, 916.73, 89.60, 98.48, 297.10, 962.84, 300.36, 19.93, 5795.00, 74.19
 00Z 12 Jul 1994, 41977, 940712/0000, 22.35, 91.80, 34.0, -3.72, -5.01, -5.58, 258.41, 42.20, 23.60, 24.30, 47.90, 1187.10, 1316.85, -2.12, -0.73, 149.28, 149.18, 909.04, 927.48, 580.86, 644.35, 297.37, 967.42, 300.22, 20.18, 5811.00, 70.99
 00Z 13 Jul 1994, 41977, 940713/0000, 22.35, 91.80, 34.0, -2.72, -0.45, -0.54, 288.00, 41.50, 22.30, 22.30, 44.60, 16.16, 26.02, -209.11, -232.09, 435.55, 428.65, 544.67, 534.79, 296.24, 970.69, 298.81, 18.76, 6250.00, 78.43
 00Z 15 Jul 1994, 41977, 940715/0000, 22.35, 91.80, 34.0, 43.56, -2.56, -2.79, 44.82, -25.50, -11.60, -10.20, -21.80, 2145.57, 2363.91, -9.88, -6.79, 153.65, 153.28, 924.49, 926.18, 257.40, 283.60, 296.81, 948.95, 301.30, 19.86, 15819.00, 56.83
 00Z 16 Jul 1994, 41977, 940716/0000, 22.35, 91.80, 34.0, -4.43, -4.64, -5.14, 286.00, 43.40, 23.70, 24.50, 48.20, 1152.51, 1280.16, -2.27, -0.74, 144.34, 143.78, 933.08, 942.39, 67.23, 74.68, 297.38, 952.64, 301.55, 20.53, 15809.00, 74.94
 00Z 17 Jul 1994, 41977, 940717/0000, 22.35, 91.80, 34.0, -0.13, -2.13, -2.71, 260.79, 36.20, 19.60, 21.10, 40.70, 1242.57, 1426.09, -3.25, -1.61, 152.41, 152.28, 930.34, 937.97, 348.10, 399.51, 297.66, 951.43, 301.94, 20.89, 15829.00, 70.39
 00Z 18 Jul 1994, 41977, 940718/0000, 22.35, 91.80, 34.0, 0.47, 1.95, 1.58, 291.21, 35.80, 19.50, 20.10, 39.60, 0.00, 0.00, 0.00, 0.00, 297.46, 1023.77, 295.60, 19.15, 5345.03, 90.44
 00Z 19 Jul 1994, 41977, 940719/0000, 22.35, 91.80, 34.0, -0.89, -2.51, -3.10, 257.39, 39.50, 21.30, 21.30, 42.60, 737.69, 871.68, 0.00, 0.00, 167.26, 165.10, 954.88, 957.48, 390.00, 460.84, 296.81, 964.30, 299.93, 19.55, 15809.00, 68.65
 00Z 20 Jul 1994, 41977, 940720/0000, 22.35, 91.80, 34.0, -1.17, -2.21, -2.74, 276.59, 39.60, 21.30, 21.30, 42.60, 669.03, 775.02, -0.18, -0.03, 946.05, 950.00, 96.35, 111.62, 297.00, 964.13, 300.13, 19.77, 15789.00, 73.24
 00Z 22 Jul 1994, 41977, 940722/0000, 22.35, 91.80, 34.0, -0.86, -2.68, -3.19, 256.02, 37.20, 20.60, 22.90, 43.50, 1150.48, 1296.77, -17.74, -10.35, 147.94, 147.71, 829.70, 848.59, 150.10, 169.18, 296.84, 962.06, 300.17, 19.63, 15849.00, 64.85
 00Z 23 Jul 1994, 41977, 940723/0000, 22.35, 91.80, 34.0, -1.82, -3.34, -3.88, 243.19, 36.60, 21.90, 23.30, 45.20, 892.70, 1039.40, -31.27, -27.23, 180.06, 178.32, 852.14, 862.31, 344.36, 400.94, 295.82, 943.34, 300.81, 18.78, 15809.00, 62.80
 00Z 24 Jul 1994, 41977, 940724/0000, 22.35, 91.80, 34.0, -0.19, -1.58, -2.03, 231.61, 39.40, 20.10, 21.70, 41.80, 444.77, 538.96, -27.10, -18.80, 216.80, 217.70, 811.92, 854.77, 237.85, 288.21, 296.59, 960.35, 300.06, 19.37, 5795.00, 71.01
 00Z 25 Jul 1994, 41977, 940725/0000, 22.35, 91.80, 34.0, -1.81, -2.52, -2.97, 273.00, 36.30, 21.60, 22.10, 43.70, 0.00, 940.76, -7.36, -4.46, -nan, 160.82, 868.11, 887.86, 0.00, 238.89, 296.66, 949.18, 301.14, 19.68, 15929.00, 68.04
 00Z 01 Jul 1996, 41977, 960701/0000, 22.35, 91.80, 34.0, -1.18, -4.28, -4.72, 273.81, 39.90, 21.50, 21.50, 43.00, 3362.20, 3521.68, -1.22, -0.46, 128.10, 126.80, 924.00, 929.98, 263.66, 276.16, 297.35, 947.29, 302.02, 20.60, 15749.00, 72.73
 00Z 02 Jul 1996, 41977, 960702/0000, 22.35, 91.80, 34.0, -3.67, -5.91, -6.56, 349.84, 43.70, 22.90, 22.90, 45.80, 2941.90, 3145.14, 0.00, 0.00, 952.80, 955.23, 14.58, 15.59, 299.77, 966.85, 302.71, 23.40, 5766.00, 82.55
 00Z 03 Jul 1996, 41977, 960703/0000, 22.35, 91.80, 34.0, -2.09, -0.86, -1.04, 297.81, 40.50, 21.50, 21.50, 43.00, 116.02, 145.41, -50.79, -50.97, 248.99, 248.23, 656.68, 666.11, 2.45, 3.07, 297.49, 977.28, 299.48, 20.10, 5796.00, 82.48
 00Z 05 Jul 1996, 41977, 960705/0000, 22.35, 91.80, 34.0, -0.39, -2.37, -2.72, 270.99, 38.30, 20.90, 20.90, 41.80, 864.94, 975.88, 0.00, 0.00, 213.22, 213.63, 974.80, 973.14, 188.46, 212.63, 297.24, 975.28, 299.40, 19.84, 5762.00, 69.70
 00Z 06 Jul 1996, 41977, 960706/0000, 22.35, 91.80, 34.0, 0.82, 0.02, -0.17, 283.81, 36.10, 19.50, 19.50, 39.00, 199.47, 257.50, -10.37, -8.46, 294.24, 288.20, 879.44, 884.31, 8.89, 11.48, 295.61, 940.58, 300.86, 18.61, 15779.00, 71.99
 00Z 07 Jul 1996, 41977, 960707/0000, 22.35, 91.80, 34.0, -1.50, -4.45, -4.91, 284.81, 39.70, 22.30, 22.30, 44.60, 1477.69, 1597.13, 0.00, 0.00, 140.68, 140.18, 973.17, 971.70, 257.34, 278.14, 297.25, 974.40, 299.49, 19.89, 5733.00, 70.24
 00Z 09 Jul 1996, 41977, 960709/0000, 22.35, 91.80, 34.0, -1.16, -4.67, -5.10, 299.59, 38.30, 21.40, 21.70, 43.10, 2067.23, 2232.73, 0.00, 0.00, 978.20, 978.20, 102.85, 111.09, 298.68, 978.20, 300.58, 21.62, 5784.00, 74.78
 00Z 10 Jul 1996, 41977, 960710/0000, 22.35, 91.80, 34.0, -3.63, -4.32, -4.70, 270.01, 43.60, 23.00, 24.10, 47.10, 1032.76, 1128.50, -12.53, -9.01, 203.35, 203.31, 822.48, 835.05, 123.20, 134.62, 297.86, 968.36, 300.63, 21.01, 5805.00, 79.04
 00Z 11 Jul 1996, 41977, 960711/0000, 22.35, 91.80, 34.0, 0.41, -3.34, -3.65, 252.02, 35.70, 19.50, 21.90, 41.40, 1062.46, 1196.58, -5.58, -2.38, 165.80, 163.48, 896.71, 912.84, 115.63, 130.23, 297.07, 945.83, 301.87, 20.30, 15779.00, 71.18
