Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 02 Mar 1993, 41977, 930302/0000, 22.35, 91.80, 34.0, 3.51, 0.08, -0.33, 158.59, 14.70, 16.90, 26.90, 43.80, 0.00, 21.52, 0.00, -167.10, 494.86, 581.53, 0.00, 0.28, 289.73, 949.96, 294.04, 12.70, 5670.00, 28.02
 00Z 05 Mar 1993, 41977, 930305/0000, 22.35, 91.80, 34.0, 1.85, 1.03, 0.81, 227.00, 21.30, 20.30, 25.30, 45.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 287.17, 905.79, 295.42, 11.24, 5678.00, 33.69
 00Z 06 Mar 1993, 41977, 930306/0000, 22.35, 91.80, 34.0, 12.17, 5.60, 5.49, 151.98, -11.70, -0.30, 26.70, 26.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.31, 834.04, 297.36, 8.94, 5727.00, 15.61
 00Z 08 Mar 1993, 41977, 930308/0000, 22.35, 91.80, 34.0, -0.03, -3.86, -4.22, 331.42, 26.50, 20.30, 30.30, 50.60, 348.72, 395.51, -323.89, -255.76, 366.56, 367.45, 616.69, 630.94, 10.59, 12.01, 289.05, 919.33, 296.10, 12.55, 5688.00, 33.20
 00Z 11 Mar 1993, 41977, 930311/0000, 22.35, 91.80, 34.0, -2.62, 0.71, 0.62, 378.19, 27.30, 22.90, 30.90, 53.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.44, 915.52, 293.78, 10.60, 5709.00, 33.65
 00Z 14 Mar 1993, 41977, 930314/0000, 22.35, 91.80, 34.0, 2.73, -2.71, -3.45, 140.81, 29.30, 14.90, 29.90, 44.80, 359.45, 508.81, -222.47, -165.60, 442.34, 445.11, 750.01, 765.55, 4.49, 6.35, 291.91, 937.59, 297.37, 14.86, 5691.00, 27.73
 00Z 15 Mar 1993, 41977, 930315/0000, 22.35, 91.80, 34.0, 1.63, -4.37, -5.00, 226.18, 32.20, 17.30, 28.30, 45.60, 558.29, 689.93, -110.33, -66.45, 778.35, 802.51, 14.82, 18.31, 293.65, 942.59, 298.66, 16.45, 5673.00, 40.76
 00Z 17 Mar 1993, 41977, 930317/0000, 22.35, 91.80, 34.0, 4.43, -0.45, -1.26, 259.59, 24.30, 16.50, 21.50, 38.00, 333.73, 543.92, -12.29, -3.73, 279.87, 279.59, 853.17, 907.62, 2.12, 3.45, 294.33, 959.46, 297.84, 16.83, 5721.00, 40.82
 00Z 18 Mar 1993, 41977, 930318/0000, 22.35, 91.80, 34.0, 7.00, -1.96, -2.79, 288.40, 3.90, 14.70, 21.70, 36.40, 700.24, 983.67, -3.08, -0.56, 293.59, 294.31, 923.68, 937.31, 1.76, 2.47, 293.33, 954.18, 297.31, 15.97, 5699.00, 26.90
 00Z 20 Mar 1993, 41977, 930320/0000, 22.35, 91.80, 34.0, 4.42, -4.59, -5.25, 107.81, 25.70, 12.30, 30.30, 42.60, 959.41, 1105.54, -177.31, -106.55, 284.15, 283.87, 751.41, 777.94, 16.60, 19.13, 292.00, 931.99, 297.95, 15.03, 5673.00, 32.21
 00Z 22 Mar 1993, 41977, 930322/0000, 22.35, 91.80, 34.0, -1.42, -0.11, -0.32, 204.59, 28.90, 22.10, 29.10, 51.20, 0.43, 5.91, -420.98, -362.93, 494.80, 487.26, 513.93, 525.07, 0.01, 0.10, 287.88, 920.37, 294.81, 11.59, 5653.00, 34.70
 00Z 24 Mar 1993, 41977, 930324/0000, 22.35, 91.80, 34.0, 1.60, 4.62, 4.49, 211.19, 26.90, 19.30, 25.30, 44.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 288.02, 939.71, 293.23, 12.79, 5666.00, 37.89
 00Z 25 Mar 1993, 41977, 930325/0000, 22.35, 91.80, 34.0, -4.32, -6.09, -6.68, 315.01, 35.50, 25.10, 28.50, 53.60, 1442.62, 1580.66, -49.88, -33.87, 207.54, 207.42, 783.48, 809.07, 34.59, 37.90, 293.76, 957.04, 297.50, 16.28, 5512.00, 46.71
 00Z 26 Mar 1993, 41977, 930326/0000, 22.35, 91.80, 34.0, -2.57, 0.17, -0.08, 227.00, 37.40, 23.50, 27.50, 51.00, 0.00, 1.86, 0.00, -405.26, 496.21, 504.42, 0.00, 0.12, 289.76, 943.21, 294.67, 12.78, 5686.00, 43.44
 00Z 31 Mar 1993, 41977, 930331/0000, 22.35, 91.80, 34.0, 10.07, 4.98, 4.72, 131.60, 8.10, 10.30, 22.30, 32.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 286.34, 903.02, 294.83, 10.74, 5697.00, 25.51
 00Z 02 Mar 1994, 41977, 940302/0000, 22.35, 91.80, 34.0, 2.28, -0.61, -0.87, 152.00, 25.30, 20.30, 25.30, 45.60, 312.47, 392.90, -77.00, -60.78, 356.24, 355.96, 792.87, 815.19, 16.06, 20.19, 290.26, 970.92, 292.74, 12.83, 5633.00, 33.34
 00Z 03 Mar 1994, 41977, 940303/0000, 22.35, 91.80, 34.0, 2.90, -1.15, -1.40, 181.00, 23.60, 20.00, 24.10, 44.10, 77.97, 128.78, -25.86, -16.45, 416.30, 414.92, 859.71, 880.12, 1.35, 2.23, 291.05, 970.64, 293.56, 13.51, 5666.00, 36.71
 00Z 04 Mar 1994, 41977, 940304/0000, 22.35, 91.80, 34.0, 7.01, 137.00, 19.80, 17.00, 19.30, 36.30, 0.00, 0.00, 5601.00, 5601.00
 00Z 05 Mar 1994, 41977, 940305/0000, 22.35, 91.80, 34.0, 7.29, 4.22, 4.15, 184.82, 23.30, 14.70, 18.90, 33.60, 291.46, 360.51, -59.38, -55.44, 574.46, 572.75, 833.92, 845.83, 5.07, 6.27, 292.01, 967.12, 294.84, 14.39, 5678.00, 42.22
 00Z 06 Mar 1994, 41977, 940306/0000, 22.35, 91.80, 34.0, 2.52, 0.25, -0.13, 199.22, 28.90, 18.90, 22.30, 41.20, 405.27, 536.78, -70.52, -50.58, 302.89, 301.81, 827.38, 839.69, 10.48, 13.88, 292.74, 955.05, 296.64, 15.38, 5725.00, 39.96
 00Z 07 Mar 1994, 41977, 940307/0000, 22.35, 91.80, 34.0, -2.69, 2.33, 2.16, 204.18, 4.50, 23.90, 24.90, 48.80, 0.15, 22.25, -198.69, -171.02, 696.72, 671.52, 704.21, 732.88, 0.01, 1.29, 289.25, 930.04, 295.32, 12.59, 5675.00, 39.66
