Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 28 Aug 1993, 41977, 930828/0000, 22.35, 91.80, 34.0, -3.28, -2.38, -2.64, 258.00, 41.90, 23.10, 24.70, 47.80, 216.67, 244.03, -118.30, -117.87, 661.66, 662.13, 11.63, 13.10, 295.50, 965.28, 298.52, 17.99, 5750.00, 65.80
 00Z 29 Aug 1993, 41977, 930829/0000, 22.35, 91.80, 34.0, 1.71, 0.94, 0.79, 208.98, 30.60, 19.00, 22.10, 41.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 293.47, 956.19, 297.28, 16.00, 5755.00, 56.39
 00Z 30 Aug 1993, 41977, 930830/0000, 22.35, 91.80, 34.0, 1.12, -2.57, -2.95, 204.20, 33.00, 19.60, 22.10, 41.70, 917.50, 1061.03, -4.87, -2.05, 148.02, 147.98, 903.91, 920.69, 854.56, 988.24, 295.68, 956.67, 299.47, 18.38, 5749.00, 58.88
 00Z 31 Aug 1993, 41977, 930831/0000, 22.35, 91.80, 34.0, -1.25, -3.77, -4.20, 328.01, 39.10, 21.60, 22.50, 44.10, 2109.97, 2244.41, -0.35, -0.04, 136.20, 134.85, 937.88, 945.30, 74.12, 78.84, 297.11, 968.05, 299.90, 19.84, 5772.00, 68.72
 00Z 01 Aug 1994, 41977, 940801/0000, 22.35, 91.80, 34.0, -0.51, -1.09, -1.50, 267.22, 38.10, 19.90, 21.90, 41.80, 800.03, 911.11, -43.19, -29.64, 155.61, 154.92, 732.10, 761.60, 214.89, 244.72, 296.77, 956.48, 300.60, 19.67, 15819.00, 70.01
 00Z 04 Aug 1994, 41977, 940804/0000, 22.35, 91.80, 34.0, -1.81, -2.82, -3.12, 254.20, 40.90, 21.70, 22.50, 44.20, 1086.95, 1179.81, -0.68, -0.24, 144.67, 143.88, 939.34, 944.12, 926.56, 1005.72, 296.69, 955.34, 300.61, 19.59, 15809.00, 73.76
 00Z 05 Aug 1994, 41977, 940805/0000, 22.35, 91.80, 34.0, 0.01, -7.17, -7.97, 265.26, 38.00, 20.50, 20.50, 41.00, 5376.21, 5657.74, -66.85, -83.94, 99.15, 98.74, 883.80, 882.56, 549.46, 578.23, 300.21, 962.73, 303.54, 24.43, 15799.00, 82.74
 00Z 06 Aug 1994, 41977, 940806/0000, 22.35, 91.80, 34.0, 1.28, -2.30, -2.66, 210.98, 35.00, 18.90, 21.70, 40.60, 552.41, 671.05, -3.58, -1.52, 257.70, 256.89, 905.61, 928.15, 460.34, 559.21, 296.63, 959.31, 300.19, 19.44, 15819.00, 66.67
 00Z 08 Aug 1994, 41977, 940808/0000, 22.35, 91.80, 34.0, -0.51, -1.38, -1.69, 250.01, 37.50, 20.50, 21.70, 42.20, 272.32, 370.12, 0.00, 0.00, 228.36, 230.30, 951.67, 955.50, 423.89, 576.13, 296.22, 957.40, 299.95, 19.02, 15819.00, 68.05
 00Z 10 Aug 1994, 41977, 940810/0000, 22.35, 91.80, 34.0, -1.87, -2.70, -3.01, 283.81, 40.30, 22.10, 22.30, 44.40, 1129.03, 1227.27, -0.32, -0.01, 178.69, 177.50, 939.95, 947.45, 121.72, 132.31, 296.35, 958.78, 299.96, 19.13, 15799.00, 69.30
 00Z 11 Aug 1994, 41977, 940811/0000, 22.35, 91.80, 34.0, -0.88, -2.09, -2.37, 274.59, 39.20, 21.20, 21.30, 42.50, 506.02, 587.17, -3.58, -4.10, 208.53, 209.09, 902.72, 902.45, 162.73, 188.83, 296.94, 972.03, 299.38, 19.53, 5772.00, 73.67
 00Z 13 Aug 1994, 41977, 940813/0000, 22.35, 91.80, 34.0, -6.82, -9.38, -10.46, 399.12, 43.50, 26.90, 28.50, 55.40, 5026.31, 5260.65, -0.03, 0.00, 94.88, 94.90, 950.77, 957.09, 122.09, 127.79, 297.27, 968.69, 300.00, 20.03, 5327.16, 69.51
 00Z 14 Aug 1994, 41977, 940814/0000, 22.35, 91.80, 34.0, -3.24, -5.89, -6.56, 616.94, 41.24, 22.81, 24.24, 47.05, 2580.82, 2765.72, -4.65, -2.19, 119.45, 117.81, 910.13, 928.44, 8.92, 9.56, 298.40, 965.89, 301.39, 21.53, 5786.00, 74.82
 00Z 15 Aug 1994, 41977, 940815/0000, 22.35, 91.80, 34.0, -1.41, -2.09, -2.41, 241.59, 39.30, 20.80, 23.10, 43.90, 405.96, 499.38, -57.46, -39.89, 179.04, 176.91, 693.73, 725.28, 69890.55, 85973.26, 296.97, 965.48, 299.98, 19.71, 15849.00, 71.15
 00Z 16 Aug 1994, 41977, 940816/0000, 22.35, 91.80, 34.0, 2.08, -0.46, -0.82, 234.02, 32.60, 18.10, 20.90, 39.00, 310.24, 421.42, -17.96, -1.39, 200.15, 200.19, 660.34, 929.56, 52.59, 71.44, 295.67, 951.18, 299.95, 18.46, 15799.00, 61.89
